"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"272","Peter","Maloney",43,"Sales manager","Windsor, Berkshire",3,10,NA,NA,NA,NA
"273","Ryan","Chong",38,"Photographer","Bristol",3,10,NA,NA,NA,NA
"274","Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",3,10,NA,NA,NA,NA
"275","Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,10,NA,NA,NA,NA
"276","Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",3,10,NA,NA,NA,NA
"277","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,1,"11","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake","IN"
"278","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,1,"8","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence","IN"
"279","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,1,"3","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake","IN"
"280","Deborah","Manger",51,"Dentist","Peterborough",4,1,"9","Pineapple Cake","'Coffee Time'","IN"
"281","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,1,"7","Giant Jam Sandwich","Secret Squirrel Cake","IN"
"282","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,1,"4","Strawberries and Cream Cake","Almond and Espresso Chocolate Cake","IN"
"283","Howard","Middleton",51,"Council Worker","Sheffield",4,1,"6","Passion Fruit and Coconut Cake","Black Forest Revisited","IN"
"284","Kimberley","Wilson",30,"Psychologist","London",4,1,"10","Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake","IN"
"285","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,1,"2","Timperley Early Cake","Thyme 'Wildwood' Cake","IN"
"286","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,1,"5","Lemon and Poppy Seed Cake","Chocolate Monster","IN"
"287","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,1,"12","Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake","IN"
"288","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,1,"13","Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake","OUT"
"289","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,1,"1","Pecan and Apple Cake","Raspberry Chocolate Cake","STAR BAKER"
"290","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,2,"9","Italian Grissini","Sweet and Savoury Yin Yang Bread","IN"
"291","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,2,"11","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath","IN"
"292","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,2,"4","Mediterranean Breadsticks with Oregano","Double Plaited Loaf","IN"
"293","Deborah","Manger",51,"Dentist","Peterborough",4,2,"8","Fennel & Chilli Breadsticks","Walnut Fleur Loaf","IN"
"294","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,2,"2","Giant Matchsticks","Sailor's Knot","IN"
"295","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,2,"7","Rosemary and Parmesan Grissini","Harvest Crown","IN"
"296","Howard","Middleton",51,"Council Worker","Sheffield",4,2,"10","Moroccan Breadsticks","Picasso Sun Bread","IN"
"297","Kimberley","Wilson",30,"Psychologist","London",4,2,"1","Nigella Seed and Parmesan Breadsticks","Peace Bread","IN"
"298","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,2,"6","Rosemary & Raisin Breadsticks","Sage & Garlic Plait","IN"
"299","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,2,"5","Twisty Rye Bread Sticks","Tribute Loaf","IN"
"300","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,2,"12","Grissini with Salt","Roast Tomato Bread","OUT"
"301","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,2,"3","Mexican Breadsticks","White Chocolate and Orange Peacock Bread","STAR BAKER"
"302","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,2,NA,NA,NA,NA
"303","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,3,"5","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops","IN"
"304","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,3,"10","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread","IN"
"305","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,3,"8","Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes","IN"
